tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
59729	Taeniopygia guttata	100229904	0	live	RBBP7		RB binding protein 7, chromatin remodeling factor	histone-binding protein RBBP7		1	NC_011462.1	16269883	16282251	plus	13		
59729	Taeniopygia guttata	100229903	0	live	DCDC2		doublecortin domain containing 2	doublecortin domain-containing protein 2		2	NC_011465.1	73830895	73890830	minus	10		
59729	Taeniopygia guttata	100229902	0	live	VTA1		vesicle trafficking 1	vacuolar protein sorting-associated protein VTA1 homolog|Vps20-associated 1 homolog		3	NC_011466.1	52235585	52273076	plus	8		
59729	Taeniopygia guttata	100229901	0	live	LDLRAD1		low density lipoprotein receptor class A domain containing 1	low-density lipoprotein receptor class A domain-containing protein 1		8	NC_011472.1	22781872	22785960	minus	6		
59729	Taeniopygia guttata	100229900	0	live	SGMS1		sphingomyelin synthase 1	phosphatidylcholine:ceramide cholinephosphotransferase 1		6	NC_011470.1	3861763	3878880	plus	5		
59729	Taeniopygia guttata	100229899	0	live	CCR6		C-C motif chemokine receptor 6	C-C chemokine receptor type 6		3	NC_011466.1	40215115	40216791	plus	2		
59729	Taeniopygia guttata	100229897	0	live	LEPR		leptin receptor	leptin receptor		8	NC_011472.1	26384444	26409084	plus	18		
59729	Taeniopygia guttata	100229894	0	live	ANK3		ankyrin 3	ankyrin-3		6	NC_011470.1	5780556	5978251	plus	46		
59729	Taeniopygia guttata	100229893	0	live	SPRTN		SprT-like N-terminal domain	sprT-like domain-containing protein Spartan		3	NC_011466.1	43057654	43062824	plus	4		
59729	Taeniopygia guttata	100229892	0	live	RASGRF1		Ras protein specific guanine nucleotide releasing factor 1	LOW QUALITY PROTEIN: ras-specific guanine nucleotide-releasing factor 1		10	NC_011474.1	20441097	20475225	minus	26		
59729	Taeniopygia guttata	100229891	0	live	RPS24		ribosomal protein S24	40S ribosomal protein S24		6	NC_011470.1	11997050	12002268	minus	7		
59729	Taeniopygia guttata	100229888	0	live	PNPLA8		patatin like phospholipase domain containing 8	calcium-independent phospholipase A2-gamma		1A	NC_011463.1	27802062	27837326	plus	9		
59729	Taeniopygia guttata	100229887	0	live	ADGB		androglobin	androglobin		3	NC_011466.1	48472203	48563987	minus	37		
59729	Taeniopygia guttata	100229885	0	live	PIM3		Pim-3 proto-oncogene, serine/threonine kinase	serine/threonine-protein kinase pim-3		1A	NC_011463.1	18425676	18430595	minus	5		
59729	Taeniopygia guttata	100229884	0	live	ISL2		ISL LIM homeobox 2	insulin gene enhancer protein ISL-2|domesticus (clone 1.6 kB) islet-2		10	NC_011474.1	916218	918950	plus	4		
59729	Taeniopygia guttata	100229880	0	live	WWOX		WW domain containing oxidoreductase	WW domain-containing oxidoreductase		11	NC_011475.1	3537445	4030153	minus	9		
59729	Taeniopygia guttata	100229879	0	live	NEK1		NIMA related kinase 1	serine/threonine-protein kinase Nek1|NIMA (never in mitosis gene a)-related kinase 1		4	NC_011467.1	33012360	33054263	minus	35		
59729	Taeniopygia guttata	100229878	0	live	ATP2C2		ATPase secretory pathway Ca2+ transporting 2	calcium-transporting ATPase type 2C member 2		11	NC_011475.1	1000571	1028712	minus	27		
59729	Taeniopygia guttata	100229877	0	live	HPGD		15-hydroxyprostaglandin dehydrogenase	15-hydroxyprostaglandin dehydrogenase [NAD(+)]|hydroxyprostaglandin dehydrogenase 15-(NAD)		4	NC_011467.1	34825806	34849676	minus	7		
59729	Taeniopygia guttata	100229875	0	live	VCAN		versican	versican core protein|chondroitin sulfate proteoglycan 2 (versican)		Z	NC_011493.1	70949424	71039568	minus	13		
59729	Taeniopygia guttata	100229874	0	live	GINS3		GINS complex subunit 3	DNA replication complex GINS protein PSF3		11	NC_011475.1	4063867	4068277	minus	3		
59729	Taeniopygia guttata	100229873	0	live	MTUS1		microtubule associated scaffold protein 1	microtubule-associated tumor suppressor 1|microtubule associated tumor suppressor 1		4	NC_011467.1	41075035	41142354	plus	15		
59729	Taeniopygia guttata	100229871	0	live	GRHPR		glyoxylate and hydroxypyruvate reductase	glyoxylate reductase/hydroxypyruvate reductase		Z	NC_011493.1	72465736	72470253	minus	7		
59729	Taeniopygia guttata	100229870	0	live	RANBP10		RAN binding protein 10	ran-binding protein 10		11	NC_011475.1	4595231	4658175	plus	14		
59729	Taeniopygia guttata	100229869	0	live	SYDE2		synapse defective Rho GTPase homolog 2	rho GTPase-activating protein SYDE2		8	NC_011472.1	12963008	12986161	plus	6		
59729	Taeniopygia guttata	100229868	0	live	C1H21orf33		chromosome 1 open reading frame, human C21orf33	ES1 protein homolog, mitochondrial|es1 protein		1	NC_011462.1	4915562	4934085	plus	7		
59729	Taeniopygia guttata	100229867	0	live	CDKN2AIP		CDKN2A interacting protein	CDKN2A-interacting protein		4	NC_011467.1	38233605	38239325	plus	4		
59729	Taeniopygia guttata	100229866	0	live	ADGRL4	ELTD1	adhesion G protein-coupled receptor L4	EGF, latrophilin and seven transmembrane domain-containing protein 1|EGF, latrophilin and seven transmembrane domain containing 1		8	NC_011472.1	15141226	15222491	plus	15		
59729	Taeniopygia guttata	100229865	0	live	AP1S2		adaptor related protein complex 1 sigma 2 subunit	AP-1 complex subunit sigma-2		1	NC_011462.1	16723765	16755913	plus	7		
59729	Taeniopygia guttata	100229863	0	live	MICU3	EFHA2	mitochondrial calcium uptake family member 3	calcium uptake protein 3, mitochondrial|EF-hand domain family, member A2		4	NC_011467.1	41391433	41443180	minus	13		
59729	Taeniopygia guttata	100229862	0	live	CACNA1H		calcium voltage-gated channel subunit alpha1 H	voltage-dependent T-type calcium channel subunit alpha-1H		14	NC_011478.1	10028411	10148577	plus	36		
59729	Taeniopygia guttata	100229861	0	live	TMEM165		transmembrane protein 165	transmembrane protein 165		4	NC_011467.1	43451619	43460551	minus	7		
59729	Taeniopygia guttata	100229860	0	live	MAP2K3		mitogen-activated protein kinase kinase 3	dual specificity mitogen-activated protein kinase kinase 3		14	NC_011478.1	10967772	10997604	plus	14		
59729	Taeniopygia guttata	100229859	0	live	C1HXorf21		chromosome 1 open reading frame, human CXorf21	uncharacterized protein CXorf21 homolog		1	NC_011462.1	10394126	10395129	plus	1		
59729	Taeniopygia guttata	100229858	0	live	CDH18		cadherin 18	cadherin-18		2	NC_011465.1	78745313	78990431	plus	13		
59729	Taeniopygia guttata	100229857	0	live	CWH43		cell wall biogenesis 43 C-terminal homolog	PGAP2-interacting protein		4	NC_011467.1	44730184	44755057	minus	16		
59729	Taeniopygia guttata	100229856	0	live	C14H16orf62		chromosome 14 open reading frame, human C16orf62	UPF0505 protein C16orf62 homolog		14	NC_011478.1	15943051	15985739	minus	31		
59729	Taeniopygia guttata	100229854	0	live	FAM8A1		family with sequence similarity 8 member A1	protein FAM8A1		2	NC_011465.1	69680198	69685577	minus	4		
59729	Taeniopygia guttata	100229853	0	live	AMZ1		archaelysin family metallopeptidase 1	LOW QUALITY PROTEIN: archaemetzincin-1		14	NC_011478.1	12320231	12325941	minus	6		
59729	Taeniopygia guttata	100229851	0	live	ADGRG2	GPR64	adhesion G protein-coupled receptor G2	G-protein coupled receptor 64|G protein-coupled receptor 64		1	NC_011462.1	15159746	15173048	plus	13		
59729	Taeniopygia guttata	100229850	0	live	MBOAT1		membrane bound O-acyltransferase domain containing 1	lysophospholipid acyltransferase 1		2	NC_011465.1	72230454	72293039	minus	14		
59729	Taeniopygia guttata	100229849	0	live	NPTX2		neuronal pentraxin 2	neuronal pentraxin-2		14	NC_011478.1	14821378	14831603	minus	6		
59729	Taeniopygia guttata	100229848	0	live	GNG4		G protein subunit gamma 4	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4		3	NC_011466.1	44885737	44893049	minus	3		
59729	Taeniopygia guttata	100229846	0	live	CRYM		crystallin mu	ketimine reductase mu-crystallin		14	NC_011478.1	15533151	15543547	plus	9		
59729	Taeniopygia guttata	100229845	0	live	MAP3K4		mitogen-activated protein kinase kinase kinase 4	mitogen-activated protein kinase kinase kinase 4		3	NC_011466.1	37228615	37283501	plus	27		
59729	Taeniopygia guttata	100229844	0	live	LRRC14B		leucine rich repeat containing 14B	leucine-rich repeat-containing protein 14B		2	NC_011465.1	76124049	76127100	plus	2		
59729	Taeniopygia guttata	100229840	0	live	MAPK4		mitogen-activated protein kinase 4	mitogen-activated protein kinase 4		Un							
59729	Taeniopygia guttata	100229838	0	live	RTKN2		rhotekin 2	rhotekin-2|pleckstrin homology domain containing, family K member 1		6	NC_011470.1	5063451	5098062	plus	12		
59729	Taeniopygia guttata	100229837	0	live	MORF4L1		mortality factor 4 like 1	mortality factor 4-like protein 1		10	NC_011474.1	20166822	20183079	minus	13		
59729	Taeniopygia guttata	100229835	0	live	GPRIN2		G protein regulated inducer of neurite outgrowth 2	G protein-regulated inducer of neurite outgrowth 2		6	NC_011470.1	8370864	8372752	plus	1		
59729	Taeniopygia guttata	100229833	0	live	SCD		stearoyl-CoA desaturase	acyl-CoA desaturase		6	NC_011470.1	16517653	16538159	minus	6		
59729	Taeniopygia guttata	100229832	0	live	LSM8		LSM8 homolog, U6 small nuclear RNA associated	LSM8 homolog, U6 small nuclear RNA associated		1A	NC_011463.1	23745060	23749351	minus	4		
59729	Taeniopygia guttata	100229831	0	live	SKOR1		SKI family transcriptional corepressor 1	SKI family transcriptional corepressor 1		10							
59729	Taeniopygia guttata	100229830	0	live	DYDC1		DPY30 domain containing 1	DPY30 domain-containing protein 1		6	NC_011470.1	10032226	10037043	plus	6		
59729	Taeniopygia guttata	100229827	0	live	SELENOO	SELO	selenoprotein O	selenoprotein O		1A	NC_011463.1	19484757	19501030	plus	9		
59729	Taeniopygia guttata	100229826	0	live	SAMD11		sterile alpha motif domain containing 11	LOW QUALITY PROTEIN: sterile alpha motif domain-containing protein 11		21	NC_011485.1	5567066	5644936	plus	13		
59729	Taeniopygia guttata	100229824	0	live	SPAM1		sperm adhesion molecule 1	hyaluronidase PH-20		1A	NC_011463.1	21367490	21372567	minus	3		
59729	Taeniopygia guttata	100229823	0	live	FOXC2		forkhead box C2	forkhead box protein C2|forkhead box C2 (MFH-1, mesenchyme forkhead 1)		11	NC_011475.1	324400	325943	plus	1		
59729	Taeniopygia guttata	100229821	0	live	ANTXRL		anthrax toxin receptor like	anthrax toxin receptor-like		6	NC_011470.1	16938054	16989547	minus	18		
59729	Taeniopygia guttata	100229820	0	live	GPM6A		glycoprotein M6A	neuronal membrane glycoprotein M6-a		4	NC_011467.1	35219729	35334893	minus	7		
59729	Taeniopygia guttata	100229814	0	live	ZNF277		zinc finger protein 277	zinc finger protein 277|zinc finger protein 277 pseudogene		1A	NC_011463.1	26390329	26447575	minus	15		
59729	Taeniopygia guttata	100229813	0	live	TENM3	ODZ1, ODZ3	teneurin transmembrane protein 3	teneurin-3|odz, odd Oz/ten-m homolog 1|odz, odd Oz/ten-m homolog 1(Drosophila)|odz, odd Oz/ten-m homolog 3		4	NC_011467.1	37524554	37988340	plus	31		
59729	Taeniopygia guttata	100229812	0	live	DHFR		dihydrofolate reductase	dihydrofolate reductase		Z	NC_011493.1	72298598	72310771	plus	6		
59729	Taeniopygia guttata	100229811	0	live	OGDH		oxoglutarate dehydrogenase	2-oxoglutarate dehydrogenase, mitochondrial		22	NC_011486.1	18669	47272	minus	24		
59729	Taeniopygia guttata	100229810	0	live	USP33		ubiquitin specific peptidase 33	ubiquitin carboxyl-terminal hydrolase 33		8	NC_011472.1	15601865	15639149	plus	24		
59729	Taeniopygia guttata	100229809	0	live	GNPDA2		glucosamine-6-phosphate deaminase 2	glucosamine-6-phosphate isomerase 2		4	NC_011467.1	46270592	46278020	plus	8		
59729	Taeniopygia guttata	100229808	0	live	CACNB3		calcium voltage-gated channel auxiliary subunit beta 3	voltage-dependent L-type calcium channel subunit beta-3		Un							
59729	Taeniopygia guttata	100229806	0	live	DPYSL4		dihydropyrimidinase like 4	dihydropyrimidinase-related protein 4		6	NC_011470.1	35757973	35766956	plus	11		
59729	Taeniopygia guttata	100229805	0	live	FAM83A		family with sequence similarity 83 member A	protein FAM83A		2	NC_011465.1	144603818	144622057	plus	8		
59729	Taeniopygia guttata	100229803	0	live	BCKDHB		branched chain keto acid dehydrogenase E1 subunit beta	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial|branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)		3	NC_011466.1	81350175	81461432	minus	13		
59729	Taeniopygia guttata	100229801	0	live	SENP6		SUMO1/sentrin specific peptidase 6	sentrin-specific protease 6		3	NC_011466.1	82940443	82996641	minus	16		
59729	Taeniopygia guttata	100229800	0	live	PTPRM		protein tyrosine phosphatase, receptor type M	receptor-type tyrosine-protein phosphatase mu		2	NC_011465.1	104415610	104870103	minus	34		
59729	Taeniopygia guttata	100229798	0	live	OGFRL1		opioid growth factor receptor like 1	opioid growth factor receptor-like protein 1		3	NC_011466.1	84784956	84794342	plus	8		
59729	Taeniopygia guttata	100229797	0	live	ATG7		autophagy related 7	ubiquitin-like modifier-activating enzyme ATG7		12	NC_011476.1	2369709	2469811	minus	27		
59729	Taeniopygia guttata	100229796	0	live	BARD1		BRCA1 associated RING domain 1	BRCA1-associated RING domain protein 1		7	NC_011471.1	635521	675584	minus	11		
59729	Taeniopygia guttata	100229795	0	live	OGN		osteoglycin	mimecan		12	NC_011476.1	5282742	5292319	plus	6		
59729	Taeniopygia guttata	100229794	0	live	ROCK1		Rho associated coiled-coil containing protein kinase 1	rho-associated protein kinase 1		2	NC_011465.1	107794374	107877298	minus	33		
59729	Taeniopygia guttata	100229792	0	live	NUP50		nucleoporin 50	nuclear pore complex protein Nup50		1A	NC_011463.1	62360049	62371702	minus	8		
59729	Taeniopygia guttata	100229791	0	live	SLC41A3		solute carrier family 41 member 3	solute carrier family 41 member 3		12	NC_011476.1	10937625	10962148	minus	10		
59729	Taeniopygia guttata	100229790	0	live	SS18		SS18, nBAF chromatin remodeling complex subunit	protein SSXT		2	NC_011465.1	109838057	109883169	minus	11		
59729	Taeniopygia guttata	100229787	0	live	LRMP		lymphoid restricted membrane protein	lymphoid-restricted membrane protein		1A	NC_011463.1	65134867	65153134	plus	21		
59729	Taeniopygia guttata	100229784	0	live	FGF6		fibroblast growth factor 6	fibroblast growth factor 6		1A	NC_011463.1	66603934	66607407	plus	3		
59729	Taeniopygia guttata	100229782	0	live	SHC1		SHC adaptor protein 1	SHC-transforming protein 1		25	NC_011489.1	539125	543495	minus	12		
59729	Taeniopygia guttata	100229781	0	live	ERC1		ELKS/RAB6-interacting/CAST family member 1	ELKS/Rab6-interacting/CAST family member 1|ELKS/Rab6-interacting/CAST family member 1-like		1A	NC_011463.1	71399267	71665941	minus	19		
59729	Taeniopygia guttata	100229780	0	live	PDIA6		protein disulfide isomerase family A member 6	protein disulfide-isomerase A6		3	NC_011466.1	99631342	99650279	minus	13		
59729	Taeniopygia guttata	100229779	0	live	NCKIPSD		NCK interacting protein with SH3 domain	NCK-interacting protein with SH3 domain		12	NC_011476.1	9137693	9193081	plus	13		
59729	Taeniopygia guttata	100229777	0	live	UROC1		urocanate hydratase 1	urocanate hydratase		12	NC_011476.1	11157158	11194661	minus	20		
59729	Taeniopygia guttata	100229774	0	live	TSPAN9		tetraspanin 9	tetraspanin-9		1	NC_011462.1	88634661	88794445	plus	8		
59729	Taeniopygia guttata	100229772	0	live	MANSC1		MANSC domain containing 1	MANSC domain-containing protein 1		1A	NC_011463.1	73518782	73522796	plus	3		
59729	Taeniopygia guttata	100229771	0	live	PIP5K1A		phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	phosphatidylinositol 4-phosphate 5-kinase type-1 alpha		25							
59729	Taeniopygia guttata	100229770	0	live	TNMD		tenomodulin	tenomodulin		4A	NC_011468.1	892673	901027	minus	8		
59729	Taeniopygia guttata	100229769	0	live	PSMD4		proteasome 26S subunit, non-ATPase 4	26S proteasome non-ATPase regulatory subunit 4		25							
59729	Taeniopygia guttata	100229768	0	live	PIK3CA		phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform|phosphoinositide-3-kinase, catalytic, alpha polypeptide		9	NC_011473.1	20132923	20151543	minus	21		
59729	Taeniopygia guttata	100229767	0	live	LRRCC1		leucine rich repeat and coiled-coil centrosomal protein 1	leucine-rich repeat and coiled-coil domain-containing protein 1|leucine rich repeat and coiled-coil domain containing 1		2	NC_011465.1	129006623	129025481	plus	19		
59729	Taeniopygia guttata	100229765	0	live	SLC16A4		solute carrier family 16 member 4	monocarboxylate transporter 5|solute carrier family 16, member 4 (monocarboxylic acid transporter 5)		26	NC_011490.1	224739	237789	minus	7		
59729	Taeniopygia guttata	100229764	0	live	GUCY2F		guanylate cyclase 2F, retinal	retinal guanylyl cyclase 2		1	NC_011462.1	87570409	87698462	plus	19		
59729	Taeniopygia guttata	100229763	0	live	RBM18		RNA binding motif protein 18	probable RNA-binding protein 18		17	NC_011481.1	9961608	9972092	minus	6		
59729	Taeniopygia guttata	100229761	0	live	FKBP4		FK506 binding protein 4	peptidyl-prolyl cis-trans isomerase FKBP4		1	NC_011462.1	88427164	88461769	plus	14		
59729	Taeniopygia guttata	100229759	0	live	KIF21B		kinesin family member 21B	LOW QUALITY PROTEIN: kinesin-like protein KIF21B		26	NC_011490.1	1530628	1571510	plus	32		
59729	Taeniopygia guttata	100229756	0	live	TMEM183A		transmembrane protein 183A	transmembrane protein 183A		26	NC_011490.1	2713403	2726732	minus	8		
59729	Taeniopygia guttata	100229755	0	live	ATN1		atrophin 1	atrophin-1		1	NC_011462.1	89867395	89888125	minus	10		
59729	Taeniopygia guttata	100229754	0	live	TCEA1		transcription elongation factor A1	transcription elongation factor A protein 1|transcription elongation factor A 1		2	NC_011465.1	116329154	116355112	minus	10		
59729	Taeniopygia guttata	100229753	0	live	DUS1L		dihydrouridine synthase 1 like	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like		18	NC_011482.1	1896035	1911247	minus	13		
59729	Taeniopygia guttata	100229751	0	live	C26H6orf132		chromosome 26 open reading frame, human C6orf132	LOW QUALITY PROTEIN: uncharacterized protein C6orf132 homolog		26	NC_011490.1	3225927	3237357	minus	10		
59729	Taeniopygia guttata	100229750	0	live	WARS2		tryptophanyl tRNA synthetase 2, mitochondrial	tryptophan--tRNA ligase, mitochondrial		1	NC_011462.1	90900486	90920159	plus	5		
